Candidate,Party,Votes
KAUSHLENDRA KUMAR,Janata Dal (United),321982
SATYA NAND SHARMA,Lok Jan Shakti Party,312355
ASHISH RANJAN SINHA,Indian National Congress,127270
SANJAY KUMAR,Bahujan Samaj Party,23595
SHASHI YADAV,Communist Party of India (Marxist-Leninist) (Liberation),19477
PARNAV PRAKASH,Aam Aadmi Party,18224
SHAILESH KUMAR,Ati Picchara party,15370
RAKESH RANJAN SINHA,Republican Party of India (A),13381
DHIRENDRA KUMAR,Janvadi Party(Socialist),8757
KAUSHAL KUMAR KAUSHALENDRA SINHA ALIAS BHARAT MANAS,Independent,7472
LALLU RAM,Bahujan Mukti Party,6788
AWADH KUMAR,Independent,6346
MUNNA PRASAD,Independent,6048
NAYEB ALI,All India Trinamool Congress,4613
YOGENDRA PRASAD,Bharatiya Inqalab Party,4600
MAHESH PASWAN,Bharat Bhrashtachar Mitao Party,4236
NARESH PRASAD SINGH,Independent,3620
PRAMOD KUMAR NIRALA,Sankhyanupati Bhagidari Party,2779
VISHWAJIT KUMAR,Independent,2604
NIRAJ SHARMA,Rajnaitik Vikalp Party,2342
LATA SINHA,Independent,2237
BHOLA SAO,Krantikari Vikas Dal,2213
None of the Above,None of the Above,5452
