Candidate,Party,Votes
UDASI SHIVAKUMAR CHANNABASAPPA,Bharatiya Janata Party,566790
SALEEM AHMED,Indian National Congress,479219
SHIDDAPPA KALLAPPA POOJAR,Independent,15656
RAVI MENASINAKAI,Janata Dal (Secular),9814
RUDRESH RAMANNA HADAGALI,Independent,7320
HALAPPA TIMMENAHALLI,Bahujan Samaj Party,6229
HANUMANTAPPA D. KABBAR,Independent,5997
SHIVAKUMAR TALAWAR,Independent,3780
BIDARAGADDI V.B,Independent,3528
MEHABOOBKHAN PATHAN,Independent,2329
B.M.JAYADEV MATHAD,Independent,2296
H M SIRQUAZI,Aam Aadmi Party,1602
D PRASAD,Republican Party of India (A),1490
CHANDRASHEKHARAYYA GURULINGAYYA KULKARNI,Independent,1314
KABBINAD VERABHADRAPPA VEERAPPA,Independent,1224
BASAVANTEPPA HONNAPPA HULLATTI,Sarva Janata Party,974
GIRISHGOUDA C.BISTANAGOUDAR,Independent,946
KUBER VASANNA,Independent,883
SURESH M.MUNDARGI,Rani Chennamma Party,771
None of the Above,None of the Above,3806
