Candidate,Party,Votes
CHHOTELAL,Bharatiya Janata Party,378211
SHARADA PRASAD,Bahujan Samaj Party,187725
PAKAUDI LAL KOL,Samajwadi Party,135966
BHAGWATI PRASAD CHAUDHARY,Indian National Congress,86235
ASHOK KUMAR KANNAOUJIYA,Communist Party of India,24363
RAVI SHANKAR KANNAUJIA,Aam Aadmi Party,9913
RAMBRIKSHA,Independent,9408
LAWRENCE ANTHONY,Independent,7703
SHANKAR KOL,Communist Party of India (Marxist-Leninist) (Liberation),6101
ARUN SINGH(CHERO),Independent,5613
GUN DEVI ( GYANI DEVI),Qaumi Ekta Dal,5307
S. R. DARAPURI,All India Peoples' Front (Radical),4891
RAJKUMAR,Shoshit Sandesh Party,2982
MANGOI,Bahujan Mukti Party,2966
None of the Above,None of the Above,18489
