Candidate,Party,Votes
BADARUDDOZA KHAN,Communist Party of India (Marxist),426947
ABDUL MANNAN HOSSAIN,Indian National Congress,408494
ALI MOHAMMAD,All India Trinamool Congress,289027
SUJIT KUMAR GHOSH,Bharatiya Janata Party,101069
MD. NAJMUL HOQUE,All India United Democratic Front,11333
KAMARUJJAMAN KHANDEKAR(BAKUL),SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8378
MD. KHODABOX SEKH,Welfare Party Of India,6445
MASUDUL ISLAM,SOCIAL DEMOCRATIC PARTY OF INDIA,6010
JITENDRA NATH HALDER,Bahujan Samaj Party,5722
ABDUL BARI,Indian Union Muslim League,5383
ASIM KUMAR DAS,Independent,4539
SWAPAN KUMAR MANDAL,Amra Bangalee,4260
None of the Above,None of the Above,10156
