Candidate,Party,Votes
RAJESH KUMAR DIWAKER,Bharatiya Janata Party,544277
MANOJ KUMAR SONI,Bahujan Samaj Party,217891
RAMJI LAL SUMAN,Samajwadi Party,180891
NIRANJAN SINGH DHANGAR,Rashtriya Lok Dal,86109
SUNHARI LAL,Aam Aadmi Party,5043
NIRANJAN SINGH,Independent,2847
OMPRKASH,Independent,2778
RAJA RAM,Independent,2169
DALVIR SINGH,Independent,1599
None of the Above,None of the Above,5669
