Candidate,Party,Votes
THUPSTAN CHHEWANG,Bharatiya Janata Party,31111
GHULAM RAZA,Independent,31075
SYED MOHD KAZIM,Independent,28234
TSERING SAMPHEL,Indian National Congress,26402
None of the Above,None of the Above,1207
