Candidate,Party,Votes
DHARAMBIR S/O BHALE RAM,Bharatiya Janata Party,404542
BAHADUR SINGH,Indian National Lok Dal,275148
SHRUTI CHOUDHRY,Indian National Congress,268115
VED PAL TANWAR,Bahujan Samaj Party,27834
LALIT AGGARWAL,Aam Aadmi Party,22200
LAL CHAND,Republican Backward Congress,6265
MASTER SHER SINGH,Communist Party of India (Marxist),3441
PURAN MAL SHARMA,Independent,3195
NARENDER PICHOPA-KHURD,Independent,3151
DHARAMBIR SINGH,Independent,2357
OMBIR,Lok Parivartan Party(DC),1617
NARESH KUMAR,Samajwadi Party,1493
PARDEEP SINGH TANWAR,Independent,1334
CHITTER SINGH BALI,Independent,1060
VEDPARKASH BHARTIYA,Independent,1020
DHARM BIR S/O HARI SINGH,Independent,995
SATPAL S/O SUBE,Independent,826
DHARAMBIR S/O BANWARI,Independent,708
RAJIV,Bahujan Mukti Party,603
SUDHIR CHANDWAS,Independent,523
MAHAVIR SINGH,Independent,393
SAMSER,National Loktantrik Party,391
SHER SINGH,Independent,361
SATPAL S/O LOKRAM,Independent,297
RAKESH KUMAR,Independent,293
SUKHBIR SINGH,Independent,275
None of the Above,None of the Above,1994
