Candidate,Party,Votes
HARI MANJHI,Bharatiya Janata Party,326230
RAMJI MANJHI,Rashtriya Janata Dal,210726
JITAN RAM MANJHI,Janata Dal (United),131828
ASHOK KUMAR,Jharkhand Mukti Morcha,36863
DR. DEV KUMAR CHOUDHARY,Independent,19651
SHIV KUMAR KANT,Bahujan Samaj Party,16028
KAPIL CHOUDHARY,All India Trinamool Congress,9004
NIRANJAN KUMAR,Communist Party of India (Marxist-Leninist) (Liberation),7624
BHUNESWAR DAS,Rashtriya Ahinsa Manch,7549
DHANANJAY KISHORE,Aam Aadmi Party,7312
MAMTA KUMARI,Samajwadi Party,6065
SHIV SHANKAR KUMAR,Bharat Bhrashtachar Mitao Party,5924
INDRA DEO CHOUDHARY,Bahujan Mukti Party,5544
None of the Above,None of the Above,19030
