Candidate,Party,Votes
JUGAL KISHORE,Bharatiya Janata Party,619995
MADAN LAL SHARMA,Indian National Congress,362715
YASHPAL SHARMA,Jammu & Kashmir Peoples Democratic Party,168554
ASHOK KUMAR,Bahujan Samaj Party,31199
HARI CHAND JALMERIA,Jammu & Kashmir National Panthers Party,9071
MOHD. IMTIAZ,Independent,7423
PERSEEN SINGH,Independent,7173
GURSAGAR SINGH,Socialistic Democratic Party,6042
NIRMAL SINGH,Independent,5286
VIJAY KUMAR,Independent,5125
LABHA RAM,Independent,5046
ABDUL MAJID CHOUHAN,Independent,4177
BAHADUR SINGH CHOWDHARY,Samajwadi Party,3164
RAJ KUMAR,Independent,2991
ASHOK KUMAR SHARMA,Independent,2582
MOHD. ABBAS KHAN,Independent,2469
SUBASH CHANDER,All J & K Kisan Majdoor Party,2205
MEHAR MANAV BHAGAT,Bharatiya Bahujan Party,2013
SATISH POONCHI,Independent,1981
None of the Above,None of the Above,4382
