Candidate,Party,Votes
NARAMALLI SIVAPRASAD,Telugu Desam,594862
G.SAMANYAKIRAN,Yuvajana Sramika Rythu Congress Party,550724
DR.B.RAJAGOPAL,Indian National Congress,16572
JITHENDRA KUMAR.DHANDU,Bahujan Samaj Party,15897
P. PUSHPA RAJ,Jai Samaikyandhra Party,5740
S. ANJAPPA,Independent,4321
UDAYA C.S,Pyramid Party of India,3803
None of the Above,None of the Above,6996
