Candidate,Party,Votes
NAGARAJAN P.,All India Anna Dravida Munnetra Kazhagam,431717
RADHAKRISHNAN C.P.,Bharatiya Janata Party,389701
GANESHKUMAR K.,Dravida Munnetra Kazhagam,217083
PRABHU R.,Indian National Congress,56962
NATARAJAN P.R.,Communist Party of India (Marxist),34197
PON CHANDRAN.,Aam Aadmi Party,6680
KANAGASABAPATHY G.,Independent,2329
KITTUSAMY P.,Independent,2122
TAMILNADU SELVAM ERA.,Bahujan Samaj Party,1959
SUBASH K.R.,Independent,1756
NAGARAJ S.,Independent,1699
RADHAKRISHNAN R.,Independent,1672
CHANDRAN D.,Communist Party of India (Marxist-Leninist) (Liberation),1360
ALPHONESRAJ M.,Independent,1306
RAJAGOPAL M.,Independent,1232
RANJITHKUMAR M.,Independent,1100
KALAPIRAR KUPPUSAMY C.,Communist Party of India (Marxist-Leninist) Red Star,1051
JERLLD AMALAJOTHI I.,Independent,858
ANBUSELVAN.,Independent,799
ABDUL SALAM A.,Independent,766
TAMILSELVAN K.,Independent,640
MOHANRAJ K.,Independent,607
JAGADEESWARAN S.,Ulzaipali Makkal Katchy,596
DORAISAMY A.,Makkal Manadu Katchi,550
SRIDHARAN S.,Independent,450
None of the Above,None of the Above,17428
