Candidate,Party,Votes
P.C. MOHAN,Bharatiya Janata Party,557130
RIZWAN ARSHAD,Indian National Congress,419630
V. BALAKRISHNAN,Aam Aadmi Party,39869
NANDINI ALVA,Janata Dal (Secular),20387
R. MOHAN RAJU,Bahujan Samaj Party,5806
MODI SAIFULLA,Independent,3204
SEETHA RAMAN.E,Independent,2543
ISMAIL KHAN SAIF ALI,All India Trinamool Congress,2276
DR. MEER LAYAQ HUSSAIN,Independent,1878
RAMANUJ SINGH,Independent,1836
K.MURTHY,Independent,1507
G. NARAYANASWAMY (KAPALI),Independent,1228
ZAHEEDA SHEREEN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1198
BHOVI RAMA C.B.K,Independent,942
PRASHANTH.S.M,Independent,903
H.L. MANJUNATHA,Kannada Chalavali Vatal Paksha,707
B.K. NARAYANA-SWAMY,Independent,700
B.V.VENKATESHAPPA,Independent,668
BUDAYYA .B. PUJERI,Karunaadu Party,553
SHAFI AHMED,Independent,549
KADUGUDI SONNAPPA,Republican Party of India (A),543
SURAIYA ZAITHOON,Independent,519
DHANANJAYA. H.H,Independent,422
SYED ASIF BUKHAARI,Independent,411
AMBROSE D'MELLO,Independent,366
E.SALAM,Independent,365
None of the Above,None of the Above,8449
