Candidate,Party,Votes
KALYAN BANERJEE,All India Trinamool Congress,514933
TIRTHANKAR RAY,Communist Party of India (Marxist),362407
BAPPI LAHIRI,Bharatiya Janata Party,287712
ABDUL MANNAN,Indian National Congress,86099
DR. SOMNATH GHOSH,Independent,6613
RAJU DEY SARKAR,Independent,4277
NASIRUDDIN MIR,Indian Unity Centre,4240
MANASA SEN,Welfare Party Of India,3406
MD. SHANAWAZ,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2698
KAILASH NASKAR,Independent,2674
None of the Above,None of the Above,15374
