Candidate,Party,Votes
RAM KUMAR SHARMA,Rashtriya Lok Samta Party,411265
SITARAM YADAV,Rashtriya Janata Dal,263300
ARJUN RAI,Janata Dal (United),97188
MAHESH NANDAN SINGH,Independent,20613
KISHORI DAS,Aam Aadmi Party,18043
RAJEEV RANJAN,All India Trinamool Congress,11250
CHANDRIKA PRASAD,Independent,8846
MAHESH KUMAR,Bahujan Samaj Party,8521
SATYENDRA BHANDARI,Bahujan Mukti Party,7853
MOHAMMAD FAIYAZ AHMAD,Independent,7586
SONE LAL SAH,Independent,6115
NARENDRA MISHRA,Independent,6078
AJAY KUMAR,Independent,5454
SYED ABU DOJANA,Samajwadi Party,4692
SURENDRA KUMAR,Bajjikanchal Vikas Party,4501
JAY KUMAR CHAUDHARY,Lok Dal,3880
MAHENDRA PRASAD,Samajwadi Janata Party (Rashtriya),3695
VINOD SAH,Independent,2996
BHARAT BHUSHAN SAHNI,Sarvajan Kalyan Loktantrik Party,2763
None of the Above,None of the Above,5949
