Candidate,Party,Votes
CH.MALLA REDDY,Telugu Desam,523336
HANUMANTH RAO MYNAMPALLY,Telangana Rashtra Samithi,494965
SARVEY SATHYANARAYANA,Indian National Congress,233711
DR.JAYAPRAKASH NARAYAN .N,Lok Satta Party,158243
V.DINESH REDDY,Yuvajana Sramika Rythu Congress Party,115170
DIVAKAR DHARANIKOTA SUDHAKAR,All India Majlis-E-Ittehadul Muslimeen,18543
PROF. K.NAGESHWAR,Independent,13236
DR.N.V.SUDHA KIRAN,Aam Aadmi Party,8291
JAJULA BHASKAR,Shramajeevi Party,8003
KARUNAKAR.R,Bahujan Samaj Party,6133
D.BIKSHAPATHI,Independent,5717
BANDI SUDHAKAR,Jai Samaikyandhra Party,4094
ANJANEYULU.E,Independent,2677
KANTE SAYANNA,Independent,2262
SURAKANTI VENKAT REDDY,Pyramid Party of India,2049
DASARI BHARATH REDDY,Independent,1696
KOYALKAR BHOJ RAJ,Independent,1546
GAJABINKAR BANSILAL,Independent,1416
MURARI.T.N,Shivsena,1390
PEESARI SATISH REDDY,Independent,1325
M.NAGESWARA RAO,Independent,1301
VATTIKUTI RAMARAO GOUD,Independent,1032
M.T.VARUGHESE,Independent,1026
RAHUL PANDIT,Independent,899
PADURI SRINIVAS REDDY,Telangana Loksatta Party,803
B.VEERA HANUMANTHA REDDY,Independent,775
SATHYANARAYANA YAADAV PEDDIBOYINA,B.C.Bharata Desam Party,597
SUTHARAPU PADMAIAH,Andhra Pradesh Rashtra Samaikya Samithi Party,538
POLISETTY KRISHNA RAO,Independent,496
POTTURI TULASI DAS,Independent,411
None of the Above,None of the Above,8716
