Candidate,Party,Votes
RAHUL KASWAN,Bharatiya Janata Party,595756
ABHINESH MAHARSHI,Bahujan Samaj Party,301017
PRATAP SINGH,Indian National Congress,176912
KRISHAN KUMAR SARAN,Aam Aadmi Party,13977
INDRASINGH JAT,Communist Party of India (Marxist),10778
SALIM GUJAR,Independent,4018
GORDHAN SARSWAT,All India Trinamool Congress,3991
RAJPAL,Independent,3727
AJAY KUMAR,Independent,2938
SYOPAT RAM,Bharatiya Sant Mat Party,2330
MOHAMMAD ALI KHAN,Bahujan Sangharshh Dal,2313
TORURAM MEGHWAL,Bahujan Mukti Party,2054
None of the Above,None of the Above,11293
