Candidate,Party,Votes
SANTOSH AHLAWAT,Bharatiya Janata Party,488182
RAJ BALA OLA,Indian National Congress,254347
DR. RAJKUMAR SHARMA,Independent,206288
RAJBALA,Independent,11740
RAHISA BANO,Bahujan Samaj Party,10423
GENERAL R S KADYAN,Aam Aadmi Party,10386
URMILA,Megh Desham Party,5581
BHUDAR MAL,All India Trinamool Congress,2979
MAHABEER PRASAD KUMAWAT,Independent,2932
OM PRAKASH JHARODA,Communist Party of India (Marxist-Leninist) (Liberation),2506
BHAN SINGH,Bharatiya Sant Mat Party,1885
PRAVEEN KUMAR,Independent,1178
None of the Above,None of the Above,8038
