Candidate,Party,Votes
UMA SAREN,All India Trinamool Congress,674504
DR. PULIN BIHARI BASKE,Communist Party of India (Marxist),326621
BIKASH MUDI,Bharatiya Janata Party,122459
ANITA HANSDA,Indian National Congress,40513
BUDDHADEB MANDI,Jharkhand Mukti Morcha,15114
HIRANMOY MAJHI,Independent,8616
RAMPADA HANSDA,Amra Bangalee,8478
GOMASTA PRASAD SOREN,Akhil Bhartiya Jharkhand Party,8364
CHUNIBALA HANSDA,Jharkhand Party (Naren),7608
SUBODH KUMAR MANDI,Independent,7453
MILAN MANDI,Jharkhand Disom Party,6013
RAJIB MUDI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),5058
MURARI MOHAN BASKE,Jharkhand Anushilan Party,3877
None of the Above,None of the Above,22935
