Candidate,Party,Votes
RAJEN GOHAIN,Bharatiya Janata Party,494146
JONJONALI BARUAH,Indian National Congress,350587
DR. ADITYA LANGTHASA,All India United Democratic Front,314012
MRIDULA BARKAKOTY,Asom Gana Parishad,35142
FARUK HAZARIKA,Independent,11325
DIPAK KUMAR BORAH,All India Trinamool Congress,6835
SELIMA SULTANA,Independent,6462
RAFIQUL ISLAM,All India Forward Bloc,2783
None of the Above,None of the Above,8782
