Candidate,Party,Votes
VASAVA MANSUKHBHAI DHANJIBHAI,Bharatiya Janata Party,548902
PATEL JAYESHBHAI AMBALALBHAI (JAYESH KAKA),Indian National Congress,395629
ANILKUMAR CHHITUBHAI BHAGAT,Janata Dal (United),49289
SINDHI MAYYUDEEN UMARBHAI,Independent,9862
SUKHRAMSINGH,Bahujan Samaj Party,7275
SHAILESHKUMAR MAGANBHAI PARMAR,Independent,5125
JAYENDRASINH RANA,Aam Aadmi Party,4818
VIRSANGBHAI PARBATBHAI GOHIL,Independent,3353
BHURA SHABBIRBHAI VALIBHAI,Independent,2694
NITIN ISHWARLAL VAKIL (ADVOCATE),Independent,2661
RAFIKBHAI SULEMAN SAPA,Independent,2644
ANANDKUMAR SARVARSINH VASAVA,Independent,1855
SAIYAD MOHSIN BAPU NANUMIYAWALA,Bahujan Mukti Party,1406
SAYYED ASIF ZAFAR ALI,Apna Desh Party,1083
None of the Above,None of the Above,23615
