Candidate,Party,Votes
JEYASINGH THIYAGARAJ NATTERJEE.J,All India Anna Dravida Munnetra Kazhagam,366052
JEGAN. P,Dravida Munnetra Kazhagam,242050
JOEL. S,Marumalarchi Dravida Munnetra Kazhagam,182191
SHANMUGAM, A.P.C.V.,Indian National Congress,63080
PUSHPARAYAN.M.,Aam Aadmi Party,26476
MOHANRAJ. A,Communist Party of India,14993
AYYADURAI. S,Bahujan Samaj Party,3205
ALWARSAMY KARTHIKEYAN.L,Independent,1727
SAMUEL. A.S.,Independent,1157
PANNEERSELVAM.C,Independent,1129
VINSTON ANTO. S,Independent,983
RAMKUMAR. V,Independent,784
SANTHADEVI. S,Independent,765
ANANDHARAJ, M.,Independent,739
None of the Above,None of the Above,11447
