Candidate,Party,Votes
PRABHAS KUMAR SINGH,Biju Janata Dal,383230
SUBASH CHOUHAN,Bharatiya Janata Party,372052
SANJAY BHOI,Indian National Congress,274610
KULAMANI URMA,Paschimanchal Vikas Party,26216
ASHOK BISI,Communist Party of India,21100
LINGARAJ PRADHAN,Aam Aadmi Party,15672
GAYAN CHAND,Bahujan Samaj Party,8009
ASHOK MITTAL,All India Trinamool Congress,7912
None of the Above,None of the Above,14500
