Candidate,Party,Votes
C.S.PUTTARAJU,Janata Dal (Secular),524370
RAMYA,Indian National Congress,518852
PROF. B.SHIVALINGAIAH,Bharatiya Janata Party,86993
M.KRISHNAMURTHY,Bahujan Samaj Party,22391
H.K.KRISHNA,Karunaadu Party,8604
BHANUPRAKASH.K.L,Independent,4354
DR. C.S.HANUMANTHAPPA,Aam Aadmi Party,4098
N.C.PUTTARAJU,Independent,4021
K.UDAYAKUMARA,Independent,3070
ASHRAF,Independent,2163
KRISHNAMURTHY KOMMERAHALLI,Republican Party of India (A),1643
K.MAHADEVAPPA,Bharatiya Dr. B.R.Ambedkar Janta Party,1423
ARUNAKUMARA,Independent,1179
ARAVIND PREMANAND,Independent,1172
K.SHIVANANDA,Hindustan Janta Party,1165
JAYACHANDRA,Bahujan Mukti Party,1119
None of the Above,None of the Above,6021
