Candidate,Party,Votes
NIRANJAN JYOTI,Bharatiya Janata Party,485994
AFZAL SIDDIQUI,Bahujan Samaj Party,298788
RAKESH SACHAN,Samajwadi Party,179724
USHA MAURYA,Indian National Congress,46588
RAMKRISHNA TRIPATHI,All India Trinamool Congress,7578
SRIDEVI,Independent,5838
RANJANA KAKKAR,Independent,5448
ASHOK MISHRA,Samtawadi Republican Party,3029
CHANDRABHAN SINGH,Independent,2498
ZAINUL ABDIN,Aam Aadmi Party,2454
RAMLOCHAN SEN,Bahujan Mukti Party,2173
ARVIND KUMAR,Independent,1967
MOHAMMAD JAVED,Nav Bharat Democratic Party,1657
RUKMINI DEVI NISHAD,Pragatisheel Manav Samaj Party,1345
None of the Above,None of the Above,11607
