Candidate,Party,Votes
ADHIR RANJAN CHOWDHURY,Indian National Congress,583549
INDRANIL SEN,All India Trinamool Congress,226982
PRAMOTHES MUKHERJEE,Revolutionary Socialist Party,225699
DEBES ADHIKARI,Bharatiya Janata Party,81656
BADRUL SEKH,SOCIAL DEMOCRATIC PARTY OF INDIA,11642
MD. EZARUDDIN,Jamat-E-Seratul Mustakim,4869
KUSHADHWAJ BALA,Bahujan Samaj Party,4676
ABDUS SUKUR,Indian Union Muslim League,4322
None of the Above,None of the Above,11192
