Candidate,Party,Votes
BISHNU PADA RAY,Bharatiya Janata Party,90969
KULDEEP RAI SHARMA,Indian National Congress,83157
SANJAY MESHACK,Aam Aadmi Party,3737
ANITA MONDAL,All India Trinamool Congress,2283
K.G.DAS,Communist Party of India (Marxist),1777
PRAKASH MINJ,Independent,1587
R.S.UMA BHARATTHY,Nationalist Congress Party,1151
GOUR CHANDRA MAJUMDER,Bahujan Samaj Party,1139
SARAVANAN,Independent,847
N K P NAIR,Communist Party of India (Marxist-Leninist) (Liberation),436
V V KHALID,Independent,429
RAGHUBIR SINGH,Samajwadi Party,379
C G SAJI KUMAR,Independent,334
N KANNAN,Independent,314
A PANDIAN,All India Forward Bloc,225
None of the Above,None of the Above,1564
