Candidate,Party,Votes
DINESH KASHYAP,Bharatiya Janata Party,385829
DEEPAK KARMA (BUNTY),Indian National Congress,261470
BIMALA SORI,Communist Party of India,33883
SONI SORI,Aam Aadmi Party,16903
AD. MANBODH BAGHEL,Bahujan Samaj Party,9774
ARJUN SINGH THAKUR,Ambedkarite Party of India,8966
SHANKAR THAKUR,Samajwadi Party,8136
COM. DEVCHAND DURUV,Communist Party of India (Marxist-Leninist) Red Star,6180
None of the Above,None of the Above,38772
