Candidate,Party,Votes
KOTHAPALLI GEETHA,Yuvajana Sramika Rythu Congress Party,413191
GUMMIDI SANDHYARANI,Telugu Desam,321793
KISHORE CHANDRA DEO,Indian National Congress,52884
MIDIYAM BABURAO,Communist Party of India (Marxist),38898
KANGALA BALUDORA,Independent,23215
CHETTI SANKARARAO,Independent,8951
BURJABARIKI DHANARAJU,Aam Aadmi Party,8569
SALLANGI RATNAM,Independent,7688
BIDDIKA RAMAIAH,Independent,7587
IILLA RAMI REDDY,Independent,5692
VANUGU SANKARARAO,Independent,4614
None of the Above,None of the Above,16532
