Candidate,Party,Votes
VISHNU DAYAL RAM,Bharatiya Janata Party,476513
MANOJ KUMAR,Rashtriya Janata Dal,212571
GHURAN RAM,Jharkhand Vikas Morcha (Prajatantrik),156832
KAMESHWAR BAITHA,All India Trinamool Congress,37043
RAMPATI RANJAN,Bahujan Samaj Party,20481
SHYAM LAL RAM,Independent,9592
RAVINDRA KUMAR RAVI,Independent,9145
SHUSHMA MEHTA,Communist Party of India (Marxist-Leninist) (Liberation),8386
JORAWAR RAM,Janata Dal (United),7538
VINOD RAM,Independent,5879
ASHOK RAM,Independent,5648
RAM BADAN RAM,Samajwadi Party,4976
LALDEO RAM,Bahujan Mukti Party,4432
None of the Above,None of the Above,18287
