Candidate,Party,Votes
SUSHMITA DEV,Indian National Congress,336451
KABINDRA PURKAYASTHA,Bharatiya Janata Party,301210
KUTUB AHMED MAZUMDER,All India United Democratic Front,85530
REJAMOND ALI BARBHUIYA,Communist Party of India (Marxist),12460
ARUNANGSHU BHATTACHARJEE,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8595
SHUVADIP DATTA,Independent,8577
WAZID REJA OSMANI,All India Trinamool Congress,8282
BIJOY KRISHNA NATH,Asom Gana Parishad,7679
SUKAMAL DAS,Independent,6221
RASHID AHMED LASKAR,Samajwadi Party,3347
MADHU SUDHAN DAS,Independent,3151
ABDUL MANNAN BARBHUIYA,Aam Aadmi Party,3118
UPENDRA CHANDRA DAS,Independent,2740
NIRUPAM MANDAL,Independent,2462
KAMAL DAS,Independent,2170
NILU MANDOL,Shivsena,1922
JAYANTA MALLICK,Independent,1605
None of the Above,None of the Above,4310
