Candidate,Party,Votes
NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),Bharatiya Janata Party,717357
ARUN SUBHASH CHANDRA YADAV,Indian National Congress,457643
ALOK AGARWAL,Aam Aadmi Party,16799
SANJAY S/O LAXMAN SOLANKI,Bahujan Samaj Party,13691
BABA ABDUL HAMID,Independent,12036
NANDLAL SINGH CHOUHAN,Independent,6226
NANDLAL SINGH CHOUHAN (NANDU BHAIYA),Independent,5307
KASHINATH UPADHYAY,Independent,2429
SHARIF RAJGEER,Akhil Bhartiya Vikas Congress Party,2255
VINOD KUMAR BHAGWAN BIRADE,Republican Party of India (A),1783
DR. RAMESHSINGH - SOLANKI,Prajatantrik Samadhan Party,1235
BHAIYALAL UIKEY,Gondvana Gantantra Party,1208
ISHAMUDDIN (LEDAR) SAYYADH,Samata Party,1134
ZIAUDDIN INAMDAR,Bahujan Mukti Party,1075
None of the Above,None of the Above,17149
