Candidate,Party,Votes
KACHHADIYA NARANBHAI BHIKHABHAI,Bharatiya Janata Party,436715
THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI THUMMAR),Indian National Congress,280483
SUKHADIYA NATHALAL VALLABHBHAI,Aam Aadmi Party,15520
CHAVADA MANUBHAI PARSHOTTMBHAI,Janata Dal (United),13803
RAMANI SURESHBHAI DHIRUBHAI,Independent,10114
VALODARA VRAJLAL JIVABHAI,Independent,8167
DAFADA RAMJIBHAI NANJIBHAI,Bahujan Samaj Party,7822
NATHABHAI DAYABHAI TOTA,Independent,4032
MEHULBHAI HIMATBHAI SUKHADIA,Independent,3439
USMANBHAI P. MAGHARA,Independent,2216
DHIMECHA NARESHBHAI NANJIBHAI,Independent,2062
SANGANI VIJAYBHAI DINESHBHAI,Yuva Sarkar,1938
RATHOD JIVANBHAI R.,Republican Party of India (A),1809
JADAV MUSTAKBHAI,Independent,1553
None of the Above,None of the Above,19143
