Candidate,Party,Votes
MANOJ SINHA,Bharatiya Janata Party,306929
SMT SHIVKANYA KUSHWAHA,Samajwadi Party,274477
KAILASH NATH SINGH YADAV,Bahujan Samaj Party,241645
DHARM YADAV ALIAS D.P.YADAV,Rashtriya Parivartan Dal,59510
ARUN KUMAR SINGH,Independent,34093
MO. MAKSUD KHAN,Indian National Congress,18908
BRIJ BHUSHAN,Aam Aadmi Party,6925
ISHWARI,Communist Party of India (Marxist-Leninist) (Liberation),6512
SATYA DEV YADAV,Naitik Party,6381
KUBER,Independent,4889
ISHWAR DEV,Adarsh Rashtriya Vikas Party,4019
PAPPU,Eklavya Samaj Party,3585
RAJENDRA NATH RAM,Bahujan Mukti Party,3468
BHARAT,Janta Raj Party,2484
OMKAR CHAUHAN,Janvadi Party(Socialist),2416
DEENDAYAL,Pragatisheel Manav Samaj Party,2122
LAKSHAMAN,Independent,1588
GUPTESHWAR,Lok Dal,1111
None of the Above,None of the Above,5611
