Candidate,Party,Votes
E. T. MOHAMMED BASHEER,Indian Union Muslim League,378503
V.ABDURAHMAN,Independent,353093
K.NARAYANAN MASTER,Bharatiya Janata Party,75212
V.T.IKRAMUL HAQUE,SOCIAL DEMOCRATIC PARTY OF INDIA,26640
ABULLAIS.T.P,Independent,11034
SHYLOCK P.V.,Aam Aadmi Party,9504
ABDURAHIMAN VARIKKOTTIL,Independent,2434
BINDU M.K.,Independent,2261
T.AYYAPPAN,Bahujan Samaj Party,2153
ABDURAHMAN VADAKKATHINAKATH,Independent,2044
ABDURAHIMAN VAYARAKATH,Independent,1220
None of the Above,None of the Above,7494
