Candidate,Party,Votes
HARSIMRAT KAUR BADAL,Shiromani Akali Dal,514727
MANPREET SINGH BADAL S/O GURDAS SINGH,Indian National Congress,495332
JASRAJ SINGH LONGIA,Aam Aadmi Party,87901
KULDEEP SINGH,Bahujan Samaj Party,13732
ASHISH,Independent,6626
BHAGWANT SINGH SAMAON,Communist Party of India (Marxist-Leninist) (Liberation),5984
SATISH ARORA,Independent,5936
MANPREET SINGH BADAL S/O GURDEV SINGH,Independent,4618
SHAMINDER SINGH,Jammu & Kashmir National Panthers Party,4610
GEETA RANI,Akhil Bharatiya Shivsena Rashtrawadi,4380
SANJEEV KUMAR THAPAR,Independent,2833
MAKHAN LAL,Bahujan Samaj Party (Ambedkar),2587
VIJAY KUMAR,Independent,2258
SWARAN SINGH,Independent,2077
RAJINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1960
NAVNEET,Shivsena,1893
JAGDEEP SINGH GEHRI,Independent,1665
BHUPESH KUMAR,Independent,1487
GURDEEP SINGH,Indian Krantikari Lehar,1404
GURMEET SINGH RANGHRETA,Punjab Labour Party,1386
SUSHIL KUMAR JINDAL,Independent,1330
JAGDISH RAI SHARMA,Nav Bharat Democratic Party,1248
SUKHWINDER SINGH,Bahujan Mukti Party,1086
DYAL CHAND,Independent,955
SURESH KUMAR GOYAL,Janral Samaj Party,944
KARTAR SINGH,Independent,916
GURCHARAN SINGH,Independent,820
JASPAL SINGH,Independent,703
JAGDEEP SINGH,Independent,668
None of the Above,None of the Above,4701
