Candidate,Party,Votes
KALVAKUNTLA KAVITHA,Telangana Rashtra Samithi,439307
MADHU YASKHI GOUD,Indian National Congress,272123
ENDALA LAKSHMINARAYANA,Bharatiya Janata Party,225333
MALIK MOHTASIM KHAN,Welfare Party Of India,43814
BAGWAN B,Independent,8129
TALARI RAMULU,Bahujan Samaj Party,7421
ABDUL GANI,B. C. United Front,4791
KANDEM PRABHAKAR,Independent,3990
BANJA VEERAPPA,Pyramid Party of India,3651
SINGAREDDY RAVINDRA REDDY,Yuvajana Sramika Rythu Congress Party,3529
CHIRULINGADRULA VENKATESHAM,Independent,3091
S. CHANDRAIAH,Independent,2817
RAPELLY SRINIVAS,Aam Aadmi Party,2621
KOTAPATI NARSIMHAM NAIDU,Independent,2462
SAGAR SUDDALA,Bahujan Mukti Party,1978
ABDUL KAREEM KHAN (BABU),Independent,1601
None of the Above,None of the Above,7266
