Candidate,Party,Votes
BUTTA RENUKA,Yuvajana Sramika Rythu Congress Party,472782
B.T. NAIDU,Telugu Desam,428651
KOTLA JAYASURYAPRAKASH REDDY,Indian National Congress,116603
NOOR AHMED MADANI,Socialistic Democratic Party,11393
VISSA KIRAN KUMAR,Aam Aadmi Party,6522
R.J.MALLIKAL,Bahujan Samaj Party,5746
G.JAKEER HUSSAIN,Jai Samaikyandhra Party,3600
D YUGANDHAR,Independent,2820
D CHAND BASHA,Independent,2605
KOTHURU.SATYANARAYANA GUPTA,Independent,2021
NAGELLA ELIA,Welfare Party Of India,1990
KONDIPARTHI .VENKAT PRASAD,Republican Party of India,1614
None of the Above,None of the Above,9385
