Candidate,Party,Votes
RITA TARAI,Biju Janata Dal,541349
ASOK DAS,Indian National Congress,221078
AMIYA KANTA MALLICK,Bharatiya Janata Party,150789
NABIN KUMAR DALAI,Independent,29142
KALANDI MALIK,Aam Aadmi Party,8269
SUBAS CHANDRA MALLICK,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8065
DEBENDRA KUMAR MALLIK,Bahujan Samaj Party,6926
RANJIT MALIK,Bahujan Mukti Party,3409
GAYADHAR MALLICK,Samata Kranti Dal,2753
None of the Above,None of the Above,8655
