Candidate,Party,Votes
R.GOPALAKRISHNAN,All India Anna Dravida Munnetra Kazhagam,454167
V VELUSAMY,Dravida Munnetra Kazhagam,256731
D SIVAMUTHU KUMAR,Desiya Murpokku Dravida Kazhagam,147300
T.N.BHARATH NACHIAPPAN,Indian National Congress,32143
B.VIKRAMAN,Communist Party of India (Marxist),30108
P.GOPALAKRISHNAN,Independent,6337
M.KAMACIS,Aam Aadmi Party,5423
V.ANDICHAMY,Independent,4461
M.GOPALAKRISHNAN,Independent,2770
V.G.RAMDOSS,Independent,2745
V.KARUPPAIAH,Independent,2039
J.MANIKANDESWARAN,Independent,1576
K. RAJA,Desiya Forward Bloc,1483
A THAVAMANI,Bahujan Samaj Party,1255
BHARATHI KANNAMMA,Independent,1232
P.JEYAKUMAR,Independent,985
M.MOHAMMED ALI,Samata Party,904
P.CHANDRABOSE,Independent,728
K.THANGAPANDI,Independent,666
G.MARIA JOSEPH XAVIOUR,Independent,568
P.RAMASUBRAMANIAN,Independent,565
G.KANNAN,Independent,555
N ALAGU MUTHU VELAYUDAM,Independent,487
S.ARIVUDAINAMBI,Independent,441
T.RAMASAMY,Independent,432
K.K.RAMESH,Independent,432
M.MEENAKSHISUNDARAM,Independent,429
A.KANNAN,Independent,420
M VENKATESAN,Independent,394
S.GANESAN,Independent,363
S.MANICKAVASAGAM,Independent,341
None of the Above,None of the Above,19866
