Candidate,Party,Votes
BHARTRUHARI MAHATAB,Biju Janata Dal,526085
APARAJITA MOHANTY,Indian National Congress,219323
SAMIR DEY,Bharatiya Janata Party,146093
MAHAMEGHABAHAN AIRA KHARABELA SWAIN,Aama Odisha Party,58246
SANJAY KUMAR SAHOO,Independent,5733
BIKASH DAS,Aam Aadmi Party,4531
PRAMOD KUMAR MALLICK,Bahujan Samaj Party,3639
BINAPANI DAS,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2171
JIBESH KISHORE SUNDARAY,All India Trinamool Congress,2082
SABYASACHI MAHAPATRA,Communist Party of India (Marxist-Leninist) Red Star,1812
None of the Above,None of the Above,8889
