Candidate,Party,Votes
ADV. NARENDRA KESHAV SAWAIKAR,Bharatiya Janata Party,198776
ALEIXO REGINALDO LOURENCO,Indian National Congress,166446
CHURCHILL ALEMAO,All India Trinamool Congress,11941
SWATI S. KERKAR,Aam Aadmi Party,11246
GOVIND SHEPU GAUDE,Independent,7152
ADV. RAJU MANGESHKAR,Communist Party of India,4437
SHALOM MATHEW FRANCISCO SARDINHA,Independent,2586
VENUS HABIB,Independent,790
SAVIO OLIVER RODRIGUES,Goa Su-Raj Party,783
BALKRISHNA SALGAONKAR,Independent,683
CLIFFTON DE SOUZA,Bahujan Mukti Party,666
ADV.JAWAHAR LEONARDO DIAS,Goemcarancho Otrec Astro,530
None of the Above,None of the Above,4333
