Candidate,Party,Votes
PATEL LALUBHAI BABUBHAI,Bharatiya Janata Party,46960
KETAN DAHYABHAI PATEL,Indian National Congress,37738
KESSUR GOAN,Aam Aadmi Party,729
BHAVESH PATEL,Bahujan Samaj Party,490
None of the Above,None of the Above,1316
