Candidate,Party,Votes
RAMEN DEKA,Bharatiya Janata Party,486357
KIRIP CHALIHA,Indian National Congress,463473
SAHADEV DAS,Bodoland Peoples Front,86347
PARESH BAISHYA,All India United Democratic Front,74710
MADHAB RAJBANGSHI,Asom Gana Parishad,66467
SHACHINDRA NATH BRAHMA,Independent,12443
DEBA KUMAR BARMAN,All India Trinamool Congress,8341
SWARNALATA CHALIHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),7600
SAHNUR ALI,Independent,5531
AROON BAROOA,Regional Democratic Secular Congress,4164
RATUL KUMAR CHOUDHURY,Samajwadi Party,3658
NAMRATA SARMA,Aam Aadmi Party,3424
None of the Above,None of the Above,10722
