Candidate,Party,Votes
SAMBASIVA RAO RAYAPATI,Telugu Desam,632464
AYODHYA RAMIREDDY ALLA,Yuvajana Sramika Rythu Congress Party,597184
KONDAPALLI VENKATESWARLU,Indian National Congress,22943
AKKI REDDY BHIMANADULA,Pyramid Party of India,7032
YELURI SRILATHA,Jai Samaikyandhra Party,5142
MEKALA HANUMANTHA RAO YADAV,Bahujan Samaj Party,4911
ROSAIAH SIVAPARAPU,Marxist Communist Party of India (United),1877
KANUMURI KOTESWARA RAO,Independent,1404
PARUVURI RAMESH,Independent,1118
RAVU SUBRAHMANYAM,Independent,1025
JANGALA SINGARAIAH YADAV,Independent,973
None of the Above,None of the Above,5985
