Candidate,Party,Votes
MAGANTI VENKATESWARA RAO (BABU),Telugu Desam,623471
THOTA CHANDRA SEKHAR,Yuvajana Sramika Rythu Congress Party,521545
MUSUNURI NAGESWARA RAO,Indian National Congress,11770
NETALA RAMESH BABU,Bahujan Samaj Party,11670
GOVADA VIJAYA KUMARI,Prem Janata Dal,4483
U VENKATESWARARAO (U.V),Independent,3971
MENDEM SANTOSH KUMAR ( PEDABABULU),Indian Labour Party (Ambedkar Phule),3423
K.V.V.SATYANARAYANA,Jai Samaikyandhra Party,2873
C.V.SARADA DEVI,Independent,2720
SAVANAPUDI NAGARAJU,Marxist Communist Party of India (United),2318
U .V. RAMA RAO,Pyramid Party of India,1323
K.VIJAYA LAKSHMI PANDIT,Independent,1320
GANGADHARA RAO NANNAPANENI,Independent,1302
ASHOK YANTRAPATI,Mahajana Socialist Party,1212
JULURI BHASKARA VEERA VENKATA ANIL KUMAR GUPTA,Independent,751
None of the Above,None of the Above,7544
