Candidate,Party,Votes
RAVINDRA KUSHAWAHA,Bharatiya Janata Party,392213
RAVI SHANKER SINGH"PAPPU",Bahujan Samaj Party,159871
HARIBANSH SAHAI KUSHWAHA,Samajwadi Party,159688
OM PRAKASH RAJBHAR,Suheldev Bhartiya Samaj Party,66084
DR.BHOLA PANDEY,Indian National Congress,41890
ONKAR SINGH,Samajwadi Samaj Party,4947
RAM KRIPAL,Independent,4377
CHANDRA PRATAP SINGH,Aam Aadmi Party,4263
SUSHANT RAJ PATHAK,Independent,3631
SHRIRAM CHAUDHARY,Communist Party of India (Marxist-Leninist) (Liberation),3572
SIYARAM DAS,Independent,2709
DR SANJAY KR. SINGH,Janata Dal (United),1675
FIROZ AKHTAR,Rashtriya Ulama Council,1507
None of the Above,None of the Above,8322
