Candidate,Party,Votes
HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,357680
BRIJ KISHOR SINGH "DIMPAL",Samajwadi Party,324118
RAM PRASAD CHAUDHARY,Bahujan Samaj Party,283747
AMBIKA SINGH,Indian National Congress,27673
ANAND RAJPAL,Aam Aadmi Party,8407
PURUSHOTTAM PANDEY,Peace Party,8172
SHIVPOOJAN RAJBHAR,Suheldev Bhartiya Samaj Party,7063
KRISHNA KUMAR UPADHYAY ADVOCATE,Independent,4823
RAM SHANKAR GUPTA,Independent,4521
ARUN KUMAR,Independent,3587
BHAGWANDAS,Bahujan Sangharsh Party (Kanshiram),3532
RAM KARAN ALIAS R.K. GAUTAM,Bahujan Mukti Party,2803
SITA RAM,Janvadi Party(Socialist),2240
None of the Above,None of the Above,10168
