Candidate,Party,Votes
MAUSAM NOOR,Indian National Congress,388609
KHAGEN MURMU,Communist Party of India (Marxist),322904
SOUMITRA RAY,All India Trinamool Congress,197313
SUBHASH KRISHNA GOSWAMI,Bharatiya Janata Party,179000
MILAN DAS,Samajwadi Party,12163
GAUTAM SARKAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8988
NURUL ISLAM MAJIDI,Welfare Party Of India,7128
IMANUYEL HEMRAM (BAIDYA),Jharkhand Disom Party,6805
SUREN MURMU,Independent,6446
CHITTA RANJAN KIRTTANIA,Bahujan Samaj Party,6229
MONATAN HEMBRAM,Bahujan Mukti Party,4696
ABDUL KHALEQUE,All India United Democratic Front,4650
BISHNUPADA BARMAN,Amra Bangalee,4225
MINARA KHATUN,Hindustan Krantikari Dal,3348
None of the Above,None of the Above,10481
