Candidate,Party,Votes
CHAND NATH,Bharatiya Janata Party,642278
BHANWAR JITENDRA SINGH,Indian National Congress,358383
AZAD HUSAIN,Bahujan Samaj Party,19483
DR VIRENDRA VIDROHI,Aam Aadmi Party,8517
HARI SINGH SHARMA,Independent,3672
DR. DASHRATH KUMAR HINUNIA,Ambedkarite Party of India,3612
HARIPRASAD,Independent,3580
ARUN KUMAR ROOPAK,Naya Daur Party,3412
JAGDISH PRASAD BAIRWA,Independent,3390
KISHAN LAL,Independent,2572
MURSHID AHMED,All India Trinamool Congress,2160
SURESH SHARMA,Jago Party,2104
VIRJANAND,Samajwadi Party,1845
RAMESH PANVAL,Independent,1227
KHAIM CHAND,Bharatiya Yuva Shakti,1187
KHOOBRAJ NEERAJ,Bahujan Mukti Party,702
CHAUDHARY NASRUDEEN TANWAR,Socialist Party (India),662
MANGURAM SAIN,Akhil Bharatiya Congress Dal (Ambedkar),566
NISHAR AHMED,Jai Maha Bharath Party,441
None of the Above,None of the Above,2512
