Candidate,Party,Votes
CAPTAIN AMARINDER SINGH,Indian National Congress,482876
ARUN JAITLEY,Bharatiya Janata Party,380106
DR. DALJIT SINGH,Aam Aadmi Party,82633
AMARJIT SINGH ASAL,Communist Party of India,12902
ARUN KUMAR JOSHI,Independent,9023
PARDEEP SINGH WALIA,Bahujan Samaj Party,5870
RATTAN SINGH RANDHAWA,Independent,4350
GAGANDEEP KUMAR,Independent,3294
DR. INDERPAL,Independent,3083
BAL KRISHAN SHARMA,Independent,2878
SHAM LAL GANDHIWADI,Independent,2691
SURINDER KUMAR KHOSLA,Independent,2396
BHAGWANT SINGH,Independent,2303
KANWALJIT SINGH SAHOTA,Independent,2123
REHMAT MASIH,Independent,1214
AMARINDER SINGH,Independent,1151
MOHINDER SINGH,Independent,1140
BUTA SINGH,Bahujan Samaj Party (Ambedkar),941
YUSAF MOHAMMAD,Samajwadi Party,922
SURINDER SINGH,Democratic Congress Party,833
BALBIR SINGH,Bharatiya Gaon Taj Dal,827
GURDIAL SINGH GILL,Democratic Bharatiya Samaj Party,604
KRISHAN SHARMA,Nav Bharat Democratic Party,503
None of the Above,None of the Above,2533
