Candidate,Party,Votes
BANDARU DATTATREYA,Bharatiya Janata Party,438271
M.ANJAN KUMAR YADAV,Indian National Congress,183536
NARLA MOHAN RAO,All India Majlis-E-Ittehadul Muslimeen,145120
T.BHEEMSEN,Telangana Rashtra Samithi,143847
SYED SAJID ALI,Yuvajana Sramika Rythu Congress Party,45187
CHAYA RATAN MUSINIPALLY,Aam Aadmi Party,11184
K. SRINIVASULU,Jai Samaikyandhra Party,3691
KHAJA KHALID ANWAR,Bahujan Samaj Party,2863
K.SAI KRISHNA MOHAN RAO,Indian Christian Secular Party,2603
B.SUBRAMANYAM,Independent,2481
SONU SARSAL VALMIKI,Telangana Communist Party of India,2311
J.RAMULU,Revolutionary Socialist Party,2058
B.DEEPAK KUMAR,Republican Party of India (Khobragade),1813
RAGHU DESHABOINA,Bahujan Mukti Party,1496
AVULA RANGANAYAKULU,Independent,1144
KLHAJA SIRAJUDDIN AZAZ,Majlis Markaz-e-Siyasee Party,959
DR.N.S.UDAY KUMAR,Prem Janata Dal,928
S. LAKSHMAN RAO,Independent,886
DR.MALATHI LATHA EPPA,Jantantra Party,873
ABDUS SATTAR MUJAHED,Akhil Bharatiya Muslim League (Secular),809
MOHD IMTIAZ HUSSAIN,Indian Union Muslim League,786
ANANTH RAO GUNDEPALLY,Independent,779
SHAKTHI SATYAVATHI,Pyramid Party of India,638
CH. MURAHARI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),554
KUMAR CHOWDARY YADAV.G,Samaikyandhra Parirakshana Samithi,547
KARANKOTE NARENDER,All India Forward Bloc,474
SYED MADANI QUADRI,Independent,376
MOHAMMED RIZWAN HUSSAIN,Independent,370
MOHD ABUBAKAR PARWAIZ SIDDIQUI,Independent,322
MICHAEL DANIEL OVELZ,Independent,291
None of the Above,None of the Above,6572
