Candidate,Party,Votes
CHHEDI PASWAN,Bharatiya Janata Party,366087
MEIRA KUMAR,Indian National Congress,302760
KARRA PARASU RAMAIAH,Janata Dal (United),93310
BALESHWAR BHARTI,Bahujan Samaj Party,31528
GEETA ARYA,Aam Aadmi Party,11005
TETRI DEVI,Communist Party of India (Marxist-Leninist) (Liberation),7486
SURENDRA RAM,Independent,6144
RAJNARAIN RAO,Independent,4395
RAVIKANT CHAUDHARY,Independent,3980
SAROJ RAM,Bahujan Mukti Party,3906
NAND LAL RAM,Independent,2808
None of the Above,None of the Above,13379
