Candidate,Party,Votes
KRISHNA RAJ,Bharatiya Janata Party,525132
UMED SINGH KASHYAP,Bahujan Samaj Party,289603
MITHILESH KUMAR,Samajwadi Party,242913
CHETRAM,Indian National Congress,27011
SUNITA SUJATA NAGPAL,Peace Party,12945
ROSHAN LAL ALIAS ROSHAN KANAUJIYA,Independent,7871
SMT REETA SINGH ALIAS REETA BHARTI,Aam Aadmi Party,3610
KISHAN LAL,Lok Dal,2790
RAKESH,Independent,2522
RAMLAL VERMA,Bahujan Mukti Party,1613
RAMMURTI,Bhartiya Krishak Dal,1384
PYARE ALIAS RAJKUMAR GAUTAM,VANCHITSAMAJ INSAAF PARTY,1378
MEVARAM,Naitik Party,1105
None of the Above,None of the Above,9964
