Candidate,Party,Votes
GUTHA SUKHENDER REDDY,Indian National Congress,472093
TERA CHINNAPA REDDY,Telugu Desam,278937
DR. PALLA RAJESHWAR REDDY,Telangana Rashtra Samithi,260677
MARRI NEHEMIAH,Independent,56259
NANDYALA NARSIMHA REDDY,Communist Party of India (Marxist),54423
GUNNAM NAGI REDDY,Yuvajana Sramika Rythu Congress Party,39385
KUNDARAPU RAMESH,Bahujan Samaj Party,11517
MANUPURI DAYA SAGAR,Pyramid Party of India,4495
TEJAVATH BELLAIAH NAIK,Aam Aadmi Party,2308
None of the Above,None of the Above,9305
