Candidate,Party,Votes
SATISH KUMAR,Bharatiya Janata Party,514622
DR. ARVIND KUMAR SINGH,Bahujan Samaj Party,227886
ZAFAR ALAM,Samajwadi Party,226284
BIJENDRA SINGH,Indian National Congress,62674
MOHD. SABIR RAHI,Aam Aadmi Party,8978
NATTHI LAL SHARMA,Independent,4659
AMITA SINGH JAT,Sarva Samaj Kalyan Party,3376
DURGESH CHANDRA GAUTAM,All India Trinamool Congress,3076
SANJAY KUMAR,Independent,1842
VINOD KUMAR BAGHEL,Rashtriya Samaj Paksha,1723
BADSHAH,Peace Party,978
DEVANAND,Lok Dal,785
RAKESH CHANDRA RAWAT,Rashtriya Sawarn Dal,665
PRADEEP KUMAR,Bahujan Mukti Party,626
None of the Above,None of the Above,6183
