Candidate,Party,Votes
TAPAS MANDAL,All India Trinamool Congress,590451
ARCHANA BISWAS,Communist Party of India (Marxist),388684
SUPRAVAT BISWAS,Bharatiya Janata Party,233670
PRATAP KANTI RAY,Indian National Congress,92218
UTPALA BISWAS,Bahujan Samaj Party,9116
SUBHAS CHANDRA SARKAR,Independent,8658
PARESH HALDER,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),7952
NADIYAR CHAND MONDAL,Republican Party of India (A),3992
CHAITANYA BARAI,Nirjatita Samaj Biplabi Party,3829
None of the Above,None of the Above,14626
