Candidate,Party,Votes
DR. ARUN KUMAR,Rashtriya Lok Samta Party,322647
SURENDRA PRASAD YADAV,Rashtriya Janata Dal,280307
ANIL KUMAR SHARMA,Janata Dal (United),100851
RAMADHAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation),34365
NITYANAND SINGH,Independent,10625
RAVINDRA SINGH,Bahujan Samaj Party,10580
MANJAY KUMAR,Independent,8874
ARJUN THAKUR,Independent,7757
MD. ISTIYAK,All India Trinamool Congress,6041
SUDAY YADAV,Independent,4202
CHANDRA BHUSHAN SHARMA,Aam Aadmi Party,3711
RAHUL RANJAN,Jharkhand Mukti Morcha,3521
MANJU DEVI,Krantikari Vikas Dal,2826
PARSHURAM VIND,Bahujan Mukti Party,2721
NARENDRA KUMAR,Shivsena,2136
None of the Above,None of the Above,10352
