Candidate,Party,Votes
S.S.AHLUWALIA,Bharatiya Janata Party,488257
BHAI CHUNG BHUTIA,All India Trinamool Congress,291018
SAMAN PATHAK (SURAJ),Communist Party of India (Marxist),167186
SUJAY GHATAK,Indian National Congress,90076
MAHENDRA P. LAMA,Independent,55767
RABINDRA ROY BASUNIA,Independent,6100
KAKALI MAJUMDAR (ROY),Bahujan Samaj Party,6040
ARUN KUMAR AGARWAL,Independent,5449
GOUTAM BHATTACHARYA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3993
SUNIL PANDIT,Rashtriya Janasachetan Party (R.J.P.),3043
NIMA LAMA,Gorkha Rashtriya Congress,2906
LALIT SINGHA,Bahujan Mukti Party,2100
NIRANJAN SAHA,Amra Bangalee,2029
None of the Above,None of the Above,18045
