Candidate,Party,Votes
SHANTA KUMAR,Bharatiya Janata Party,456163
CHANDER KUMAR,Indian National Congress,286091
DR. RAJAN SUSHANT,Aam Aadmi Party,24430
LAL HUSSAIN,Bahujan Samaj Party,5949
BHUPINDER MEHRA,Independent,5585
PREM CHAND VISHVAKARMA,Independent,4106
ARTI SONI,Shivsena,3757
DR. ATUL THAKUR BHARMORI,Independent,1133
DHANI RAM,Independent,1085
BALDEV RAJ,Himachal Swabhiman Party,997
PARVESH YADAV,Samajwadi Party,808
RAMAN KUMAR,Bahujan Mukti Party,637
None of the Above,None of the Above,8704
