Candidate,Party,Votes
RITI PATHAK,Bharatiya Janata Party,475678
INDRAJEET KUMAR,Indian National Congress,367632
RAMA SHANKAR SHAHWAL,Bahujan Samaj Party,39387
PUSPENDRA SINGH,Gondvana Gantantra Party,23298
BHAGAWATI CHARAN PANDEY(NEELU),Independent,10725
SMT. ASHA SINGH,Rashtriya Apna Dal,10037
PANKAJ SINGH PATEL,Aam Aadmi Party,9691
RAMAKANT PANDEY MALAIHNA,Independent,7579
SUNIL SONI "KHADDI-42",Bahujan Sangharshh Dal,6627
SANAT KUMAR TRIPATHI,Bhartiya Shakti Chetna Party,5830
BRAHMANAND PRATAP SINGH,Independent,5472
URMILA,Communist Party of India (Marxist-Leninist) Red Star,4348
MOHD. JAHANGEER ANSARI,Independent,3763
LAL BAHADUR SINGH,Samata Samadhan Party,1979
None of the Above,None of the Above,17350
