Candidate,Party,Votes
P K SREEMATHI TEACHER,Communist Party of India (Marxist),427622
K SUDHAKARAN,Indian National Congress,421056
P C MOHANAN MASTER,Bharatiya Janata Party,51636
K K ABDUL JABBAR,SOCIAL DEMOCRATIC PARTY OF INDIA,19170
SASIDHARAN K V,Aam Aadmi Party,6106
K SUDHAKARAN (KOLLON HOUSE),Independent,4240
K SUDHAKARAN (SREESHYLAM),Independent,2745
P P MOHANAN,Independent,2371
N ABDULLA DAVUD,Bahujan Samaj Party,2109
P P ABOOBACKAR,Communist Party of India (Marxist-Leninist) Red Star,1536
SREEMATHI PUTHALATH,Independent,1500
None of the Above,None of the Above,7026
