Candidate,Party,Votes
SENGUTTUVAN, B.,All India Anna Dravida Munnetra Kazhagam,383719
SHANMUGAM, A.C.,Bharatiya Janata Party,324326
ABDUL RAHMAN, M.,Indian Union Muslim League,205896
VIJAY ELANCHEZIAN, J.,Indian National Congress,21650
GOPU, C.,Independent,6056
GOVINDAN, C.,Independent,4169
IMDAD SHARIFF, A.,Aam Aadmi Party,3742
SIVAPRAKASAM, R.S.,Independent,3603
JAYAPRAKASH,Bahujan Samaj Party,2791
KESAVAN, M.,Independent,1708
THIRUPATHY, T.,Independent,1293
ABDUL RAHMAN, B.,Independent,1052
GANGADARAN, K.,Independent,991
SUGUMAR, K.,Independent,828
ESWARAN, R.,Independent,790
VENKATESAN, R.,Independent,764
NANDHA KUMAR, V.,Samajwadi Party,745
ABDUL RAHMAN, N.,Independent,581
LALITHA, K.,Independent,561
DHANDAPANI, M.,Independent,558
SHAREEF BASHA, H.,Samata Party,496
GEORGE, V.A.,Bharatiya Dr. B.R.Ambedkar Janta Party,491
MANIMARAN, M.,Independent,430
GANGADHARAN, K.,Tamil Nadu Makkal Congress,430
None of the Above,None of the Above,7100
