Candidate,Party,Votes
SUNIL KUMAR MONDAL,All India Trinamool Congress,574660
ISWAR CHANDRA DAS,Communist Party of India (Marxist),460181
SANTOSH ROY,Bharatiya Janata Party,170828
CHANDANA MAJHI,Indian National Congress,68884
SWAPAN MALIK,Jharkhand Mukti Morcha,9666
KALICHARAN SARDAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),7981
PEJUSH KUMAR SAHANA,Communist Party of India (Marxist-Leninist) (Liberation),5919
MUKUL BISWAS,Bahujan Samaj Party,5442
PROSANTA BAG,Jharkhand Disom Party,3410
None of the Above,None of the Above,13951
