Candidate,Party,Votes
D.V SADANANDA GOWDA,Bharatiya Janata Party,718326
C.NARAYANA SWAMY,Indian National Congress,488562
ABDUL AZEEM,Janata Dal (Secular),92681
BABU MATHEW,Aam Aadmi Party,28107
V VELU,Bahujan Samaj Party,5586
SUN STAR D.JAYARAM,Gareeb Aadmi Party,3784
SUNIL.V.J,Independent,1561
S. RAMU,Independent,1131
MU.VENKATESH SIMHA BHOVI,Independent,1033
MANOHAR H.A.,Independent,919
T.S.CHAITHANYA (S.J.R),Independent,911
MUTHURAJU. M,Republican Party of India (A),829
MOHAMMED QUTBUDDIN,Independent,680
DR.MEERLAYAQ HUSSAIN,Independent,612
None of the Above,None of the Above,11996
